Atletas por escalão:
- Banks Lyons
- Celia Rogers
- Kathryn Maddox
- Boyle Lancaster
- Randall Nichols
- Foreman Tran
- Jacobs Carroll
- Lena Lynch
- Hood Burks
- Letitia Dean
- Tanya Ballard
- Gilbert Harrison
- Dixon Henry
- Curtis Curtis
- Carmella Lindsay
- Le Blair
- Madeleine Gould
- Evelyn Grant
- Decker Allen
- Blevins Frost
- Deanne Stone
- Amalia Flynn
- Maria Mcfadden
- Burton Singleton
- Chase Chang
- Daniel Mccormick
- Chrystal Poole
- Douglas Gay
- Glenn Best

30 - 34 (104 - 34.67%):
- Foreman Prince
- Merrill Maddox
- Faith Wells
- Sharon Bradley
- Waters Dale
- Rebekah Mayer
- Lela Barnes
- Eunice Hunter
- Castro Weber
- Ina Robles
- Laverne Hays
- Munoz Meyers
- Freida Mcneil
- Emilia Rosales
- Aisha Riddle
- Elma Estrada
- Vivian Pope
- Tami Lawrence
- Robbins Walsh
- Deirdre Higgins
- Mcdowell Church
- Banks Guerra
- Agnes Graham
- Jewel Wagner
- Fields Colon
- Emily Webb
- Maldonado Jefferson
- Deann Vargas
- Fowler Madden
- Stone Thomas
- May French
- Sherman Lowery
- Peters Emerson
- Hurley Kaufman
- Rhea Wyatt
- Kramer Acosta
- Lang Farmer
- Frost Dejesus
- Wagner Steele
- Alberta Talley
- Liza Webb
- Welch Rosales
- Park Collier
- Louise Weeks
- Woodard Rhodes
- Mclaughlin Sargent
- Jody Hart
- Francis Moran
- Valeria Kelly
- Karen Blanchard
- Shelton Ingram
- Joann Barnes
- Staci Jarvis
- Ana Sharpe
- Vivian Mercado
- Burt Wright
- Jennie Hawkins
- Mclean Reilly
- Latonya Lee
- Allen Moon
- Bishop Valentine
- Madge Daugherty
- Anne Petty
- Herrera Wilder
- Larsen Miles
- Lawrence Hahn
- Helen Pruitt
- Wiley Stark
- Smith Noel
- Frieda Hansen
- Elena Mcneil
- Haley Washington
- Albert Sweeney
- Christina Hurley
- Petra Leon
- Freda Wooten
- Meagan Le
- Jessie Dyer
- Robles Nelson
- Pruitt Ochoa
- Jackie Garrison
- Garrison Evans
- Callie Wynn
- Crawford Kelley
- Eve Kline
- Brock Peterson
- Justice Bryan
- Christa Norris
- Powers Torres
- Sheppard Greer
- Geneva Barker
- Cassie Kirk
- Dolores Williams
- Stefanie Byrd
- Garner Reid
- Esmeralda Young
- Landry Kidd
- Shaw Yang
- Deana Franco
- Velazquez Meyers
- Roth Booker
- Barr Bell
- Lilian Levine
- Dalton Chaney

35 - 39 (14 - 4.67%):
- Lucia Bright
- Beck Stevenson
- Hardin Mejia
- Vang George
- Miller Rojas
- Marsh Crosby
- Bowers Gilliam
- Kim Combs
- Frank Bishop
- Tanisha Castro
- Hodge Maxwell
- Anita Lyons
- Dana Morrison
- Price Hardin


Modalidades: Andebol, Atletismo, BTT, Badminton, Basquetebol, Ciclismo, Dança, Equitação, Esgrima, Futebol, Karaté, Orientação, Parapente, Patinagem, Triatlo

Aptos: 162 (54.0%)

Inaptos: 138 (46.0%)
